passenger,weather,probability,Y
Alone,Sunny,0.472169663,1
Friend(s),Sunny,0.472169663,1
Partner,Sunny,0.472169663,1
Kid(s),Sunny,0.472169663,1
Alone,Sunny,0.32166509,0
Friend(s),Sunny,0.32166509,0
Partner,Sunny,0.32166509,0
Kid(s),Sunny,0.32166509,0
Alone,Snowy,0.052112898,1
Friend(s),Snowy,0.052112898,1
Partner,Snowy,0.052112898,1
Kid(s),Snowy,0.052112898,1
Alone,Snowy,0.058656575,0
Friend(s),Snowy,0.058656575,0
Partner,Snowy,0.058656575,0
Kid(s),Snowy,0.058656575,0
Alone,Rainy,0.04415011,1
Friend(s),Rainy,0.04415011,1
Partner,Rainy,0.04415011,1
Kid(s),Rainy,0.04415011,1
Alone,Rainy,0.051245664,0
Friend(s),Rainy,0.051245664,0
Partner,Rainy,0.051245664,0
Kid(s),Rainy,0.051245664,0
